timestamp,happiness,sadness,anger,fear,disgust,surprise,neutral,predominant_emotion,emotion_category
2024-04-05 17:07:28,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:28,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:28,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:28,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:28,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:28,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:28,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:28,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:28,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:28,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:28,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:28,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:28,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:28,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:28,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:29,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
2024-04-05 17:07:30,0,0,0,0,0,0,0,happiness,positive
